Meter Number,Date,Start Time,Duration,Consumption,Generation,Net
6491600,11/1/21,9:00 AM,15,0.11,,0.11
6491600,11/1/21,9:15 AM,15,0.115,,0.115
6491600,11/1/21,9:30 AM,15,0.15,,0.15
6491600,11/1/21,9:45 AM,15,0.175,,0.175
6491600,11/1/21,10:00 AM,15,0.52,,0.52
6491600,11/1/21,10:15 AM,15,0.555,,0.555
6491600,11/1/21,10:30 AM,15,0.515,,0.515
6491600,11/1/21,10:45 AM,15,0.655,,0.655
6491600,11/1/21,11:00 AM,15,0.53,,0.53
6491600,11/1/21,11:15 AM,15,0.085,,0.085
6491600,11/1/21,11:30 AM,15,0.21,,0.21
6491600,11/1/21,11:45 AM,15,0.305,,0.305
6491600,11/1/21,12:00 PM,15,0.255,,0.255
6491600,11/1/21,12:15 PM,15,0.13,,0.13
6491600,11/1/21,12:30 PM,15,0.13,,0.13
6491600,11/1/21,12:45 PM,15,0.125,,0.125
6491600,11/1/21,1:00 PM,15,0.125,,0.125
6491600,11/1/21,1:15 PM,15,0.48,,0.48
6491600,11/1/21,1:30 PM,15,0.245,,0.245
6491600,11/1/21,1:45 PM,15,0.08,,0.08
6491600,11/1/21,2:00 PM,15,0.08,,0.08
6491600,11/1/21,2:15 PM,15,0.06,,0.06
6491600,11/1/21,2:30 PM,15,0.05,,0.05
6491600,11/1/21,2:45 PM,15,0.11,,0.11
6491600,11/1/21,3:00 PM,15,0.105,,0.105
6491600,11/1/21,3:15 PM,15,0.12,,0.12
6491600,11/1/21,3:30 PM,15,0.105,,0.105
6491600,11/1/21,3:45 PM,15,0.14,,0.14
6491600,11/1/21,4:00 PM,15,0.11,,0.11
6491600,11/1/21,4:15 PM,15,0.1,,0.1
6491600,11/1/21,4:30 PM,15,0.13,,0.13
6491600,11/1/21,4:45 PM,15,0.055,,0.055
6491600,11/1/21,5:00 PM,15,0.055,,0.055
6491600,11/1/21,5:15 PM,15,0.17,,0.17
6491600,11/1/21,5:30 PM,15,0.15,,0.15
6491600,11/1/21,5:45 PM,15,0.13,,0.13
6491600,11/1/21,6:00 PM,15,0.15,,0.15
6491600,11/1/21,6:15 PM,15,0.17,,0.17
6491600,11/1/21,6:30 PM,15,0.145,,0.145
6491600,11/1/21,6:45 PM,15,0.05,,0.05
6491600,11/1/21,7:00 PM,15,0.06,,0.06
6491600,11/1/21,7:15 PM,15,0.11,,0.11
6491600,11/1/21,7:30 PM,15,0.315,,0.315
6491600,11/1/21,7:45 PM,15,0.305,,0.305
6491600,11/1/21,8:00 PM,15,0.305,,0.305
6491600,11/1/21,8:15 PM,15,0.35,,0.35
6491600,11/1/21,8:30 PM,15,0.375,,0.375
6491600,11/1/21,8:45 PM,15,0.405,,0.405
6491600,11/1/21,9:00 PM,15,0.31,,0.31
6491600,11/1/21,9:15 PM,15,0.26,,0.26
6491600,11/1/21,9:30 PM,15,0.24,,0.24
6491600,11/1/21,9:45 PM,15,0.265,,0.265
6491600,11/1/21,10:00 PM,15,0.22,,0.22
6491600,11/1/21,10:15 PM,15,0.175,,0.175
6491600,11/1/21,10:30 PM,15,0.1,,0.1
6491600,11/1/21,10:45 PM,15,0.06,,0.06
6491600,11/1/21,11:00 PM,15,0.13,,0.13
6491600,11/1/21,11:15 PM,15,0.07,,0.07
6491600,11/1/21,11:30 PM,15,0.06,,0.06
6491600,11/1/21,11:45 PM,15,0.095,,0.095
6491600,11/2/21,12:00 AM,15,0.06,,0.06
6491600,11/2/21,12:15 AM,15,0.08,,0.08
6491600,11/2/21,12:30 AM,15,0.09,,0.09
6491600,11/2/21,12:45 AM,15,0.055,,0.055
6491600,11/2/21,1:00 AM,15,0.075,,0.075
6491600,11/2/21,1:15 AM,15,0.08,,0.08
6491600,11/2/21,1:30 AM,15,0.055,,0.055
6491600,11/2/21,1:45 AM,15,0.095,,0.095
6491600,11/2/21,2:00 AM,15,0.08,,0.08
6491600,11/2/21,2:15 AM,15,0.05,,0.05
6491600,11/2/21,2:30 AM,15,0.095,,0.095
6491600,11/2/21,2:45 AM,15,0.065,,0.065
6491600,11/2/21,3:00 AM,15,0.06,,0.06
6491600,11/2/21,3:15 AM,15,0.095,,0.095
6491600,11/2/21,3:30 AM,15,0.07,,0.07
6491600,11/2/21,3:45 AM,15,0.07,,0.07
6491600,11/2/21,4:00 AM,15,0.09,,0.09
6491600,11/2/21,4:15 AM,15,0.055,,0.055
6491600,11/2/21,4:30 AM,15,0.075,,0.075
6491600,11/2/21,4:45 AM,15,0.085,,0.085
6491600,11/2/21,5:00 AM,15,0.075,,0.075
6491600,11/2/21,5:15 AM,15,0.15,,0.15
6491600,11/2/21,5:30 AM,15,0.12,,0.12
6491600,11/2/21,5:45 AM,15,0.105,,0.105
6491600,11/2/21,6:00 AM,15,0.135,,0.135
6491600,11/2/21,6:15 AM,15,0.105,,0.105
6491600,11/2/21,6:30 AM,15,0.275,,0.275
6491600,11/2/21,6:45 AM,15,0.245,,0.245
6491600,11/2/21,7:00 AM,15,0.115,,0.115
6491600,11/2/21,7:15 AM,15,0.21,,0.21
6491600,11/2/21,7:30 AM,15,0.14,,0.14
6491600,11/2/21,7:45 AM,15,0.105,,0.105
6491600,11/2/21,8:00 AM,15,0.105,,0.105
6491600,11/2/21,8:15 AM,15,0.11,,0.11
6491600,11/2/21,8:30 AM,15,0.17,,0.17
6491600,11/2/21,8:45 AM,15,0.09,,0.09
6491600,11/2/21,9:00 AM,15,0.1,,0.1
6491600,11/2/21,9:15 AM,15,0.075,,0.075
6491600,11/2/21,9:30 AM,15,0.075,,0.075
6491600,11/2/21,9:45 AM,15,0.095,,0.095
6491600,11/2/21,10:00 AM,15,0.545,,0.545
6491600,11/2/21,10:15 AM,15,0.76,,0.76
6491600,11/2/21,10:30 AM,15,0.815,,0.815
6491600,11/2/21,10:45 AM,15,0.49,,0.49
6491600,11/2/21,11:00 AM,15,0.425,,0.425
6491600,11/2/21,11:15 AM,15,0.08,,0.08
6491600,11/2/21,11:30 AM,15,0.075,,0.075
6491600,11/2/21,11:45 AM,15,0.085,,0.085
6491600,11/2/21,12:00 PM,15,0.085,,0.085
6491600,11/2/21,12:15 PM,15,0.08,,0.08
6491600,11/2/21,12:30 PM,15,0.075,,0.075
6491600,11/2/21,12:45 PM,15,0.07,,0.07
6491600,11/2/21,1:00 PM,15,0.07,,0.07
6491600,11/2/21,1:15 PM,15,0.08,,0.08
6491600,11/2/21,1:30 PM,15,0.08,,0.08
6491600,11/2/21,1:45 PM,15,0.07,,0.07
6491600,11/2/21,2:00 PM,15,0.075,,0.075
6491600,11/2/21,2:15 PM,15,0.07,,0.07
6491600,11/2/21,2:30 PM,15,0.07,,0.07
6491600,11/2/21,2:45 PM,15,0.08,,0.08
6491600,11/2/21,3:00 PM,15,0.075,,0.075
6491600,11/2/21,3:15 PM,15,0.06,,0.06
6491600,11/2/21,3:30 PM,15,0.055,,0.055
6491600,11/2/21,3:45 PM,15,0.065,,0.065
6491600,11/2/21,4:00 PM,15,0.07,,0.07
6491600,11/2/21,4:15 PM,15,0.075,,0.075
6491600,11/2/21,4:30 PM,15,0.08,,0.08
6491600,11/2/21,4:45 PM,15,0.145,,0.145
6491600,11/2/21,5:00 PM,15,0.085,,0.085
6491600,11/2/21,5:15 PM,15,0.105,,0.105
6491600,11/2/21,5:30 PM,15,0.18,,0.18
6491600,11/2/21,5:45 PM,15,0.145,,0.145
6491600,11/2/21,6:00 PM,15,0.31,,0.31
6491600,11/2/21,6:15 PM,15,0.18,,0.18
6491600,11/2/21,6:30 PM,15,0.19,,0.19
6491600,11/2/21,6:45 PM,15,0.205,,0.205
6491600,11/2/21,7:00 PM,15,0.11,,0.11
6491600,11/2/21,7:15 PM,15,0.155,,0.155
6491600,11/2/21,7:30 PM,15,0.32,,0.32
6491600,11/2/21,7:45 PM,15,0.27,,0.27
6491600,11/2/21,8:00 PM,15,0.2,,0.2
6491600,11/2/21,8:15 PM,15,0.235,,0.235
6491600,11/2/21,8:30 PM,15,0.305,,0.305
6491600,11/2/21,8:45 PM,15,0.3,,0.3
6491600,11/2/21,9:00 PM,15,0.175,,0.175
6491600,11/2/21,9:15 PM,15,0.1,,0.1
6491600,11/2/21,9:30 PM,15,0.13,,0.13
6491600,11/2/21,9:45 PM,15,0.125,,0.125
6491600,11/2/21,10:00 PM,15,0.09,,0.09
6491600,11/2/21,10:15 PM,15,0.08,,0.08
6491600,11/2/21,10:30 PM,15,0.11,,0.11
6491600,11/2/21,10:45 PM,15,0.26,,0.26
6491600,11/2/21,11:00 PM,15,0.125,,0.125
6491600,11/2/21,11:15 PM,15,0.055,,0.055
6491600,11/2/21,11:30 PM,15,0.095,,0.095
6491600,11/2/21,11:45 PM,15,0.095,,0.095
6491600,11/3/21,12:00 AM,15,0.075,,0.075
6491600,11/3/21,12:15 AM,15,0.07,,0.07
6491600,11/3/21,12:30 AM,15,0.1,,0.1
6491600,11/3/21,12:45 AM,15,0.09,,0.09
6491600,11/3/21,1:00 AM,15,0.05,,0.05
6491600,11/3/21,1:15 AM,15,0.055,,0.055
6491600,11/3/21,1:30 AM,15,0.07,,0.07
6491600,11/3/21,1:45 AM,15,0.09,,0.09
6491600,11/3/21,2:00 AM,15,0.06,,0.06
6491600,11/3/21,2:15 AM,15,0.06,,0.06
6491600,11/3/21,2:30 AM,15,0.065,,0.065
6491600,11/3/21,2:45 AM,15,0.09,,0.09
6491600,11/3/21,3:00 AM,15,0.06,,0.06
6491600,11/3/21,3:15 AM,15,0.055,,0.055
6491600,11/3/21,3:30 AM,15,0.055,,0.055
6491600,11/3/21,3:45 AM,15,0.09,,0.09
6491600,11/3/21,4:00 AM,15,0.085,,0.085
6491600,11/3/21,4:15 AM,15,0.05,,0.05
6491600,11/3/21,4:30 AM,15,0.055,,0.055
6491600,11/3/21,4:45 AM,15,0.085,,0.085
6491600,11/3/21,5:00 AM,15,0.08,,0.08
6491600,11/3/21,5:15 AM,15,0.05,,0.05
6491600,11/3/21,5:30 AM,15,0.06,,0.06
6491600,11/3/21,5:45 AM,15,0.08,,0.08
6491600,11/3/21,6:00 AM,15,0.09,,0.09
6491600,11/3/21,6:15 AM,15,0.075,,0.075
6491600,11/3/21,6:30 AM,15,0.12,,0.12
6491600,11/3/21,6:45 AM,15,0.38,,0.38
6491600,11/3/21,7:00 AM,15,0.23,,0.23
6491600,11/3/21,7:15 AM,15,0.235,,0.235
6491600,11/3/21,7:30 AM,15,0.095,,0.095
6491600,11/3/21,7:45 AM,15,0.085,,0.085
6491600,11/3/21,8:00 AM,15,0.1,,0.1
6491600,11/3/21,8:15 AM,15,0.075,,0.075
6491600,11/3/21,8:30 AM,15,0.07,,0.07
6491600,11/3/21,8:45 AM,15,0.085,,0.085
6491600,11/3/21,9:00 AM,15,0.11,,0.11
6491600,11/3/21,9:15 AM,15,0.085,,0.085
6491600,11/3/21,9:30 AM,15,0.04,,0.04
6491600,11/3/21,9:45 AM,15,0.065,,0.065
6491600,11/3/21,10:00 AM,15,0.37,,0.37
6491600,11/3/21,10:15 AM,15,0.415,,0.415
6491600,11/3/21,10:30 AM,15,0.495,,0.495
6491600,11/3/21,10:45 AM,15,0.535,,0.535
6491600,11/3/21,11:00 AM,15,0.415,,0.415
6491600,11/3/21,11:15 AM,15,0.035,,0.035
6491600,11/3/21,11:30 AM,15,0.04,,0.04
6491600,11/3/21,11:45 AM,15,0.075,,0.075
6491600,11/3/21,12:00 PM,15,0.06,,0.06
6491600,11/3/21,12:15 PM,15,0.065,,0.065
6491600,11/3/21,12:30 PM,15,0.06,,0.06
6491600,11/3/21,12:45 PM,15,0.08,,0.08
6491600,11/3/21,1:00 PM,15,0.045,,0.045
6491600,11/3/21,1:15 PM,15,0.04,,0.04
6491600,11/3/21,1:30 PM,15,0.05,,0.05
6491600,11/3/21,1:45 PM,15,0.08,,0.08
6491600,11/3/21,2:00 PM,15,0.1,,0.1
6491600,11/3/21,2:15 PM,15,0.1,,0.1
6491600,11/3/21,2:30 PM,15,0.08,,0.08
6491600,11/3/21,2:45 PM,15,0.08,,0.08
6491600,11/3/21,3:00 PM,15,0.045,,0.045
6491600,11/3/21,3:15 PM,15,0.05,,0.05
6491600,11/3/21,3:30 PM,15,0.1,,0.1
6491600,11/3/21,3:45 PM,15,0.115,,0.115
6491600,11/3/21,4:00 PM,15,0.065,,0.065
6491600,11/3/21,4:15 PM,15,0.065,,0.065
6491600,11/3/21,4:30 PM,15,0.105,,0.105
6491600,11/3/21,4:45 PM,15,0.07,,0.07
6491600,11/3/21,5:00 PM,15,0.04,,0.04
6491600,11/3/21,5:15 PM,15,0.035,,0.035
6491600,11/3/21,5:30 PM,15,0.085,,0.085
6491600,11/3/21,5:45 PM,15,0.075,,0.075
6491600,11/3/21,6:00 PM,15,0.3,,0.3
6491600,11/3/21,6:15 PM,15,0.31,,0.31
6491600,11/3/21,6:30 PM,15,0.175,,0.175
6491600,11/3/21,6:45 PM,15,0.06,,0.06
6491600,11/3/21,7:00 PM,15,0.09,,0.09
6491600,11/3/21,7:15 PM,15,0.145,,0.145
6491600,11/3/21,7:30 PM,15,0.165,,0.165
6491600,11/3/21,7:45 PM,15,0.235,,0.235
6491600,11/3/21,8:00 PM,15,0.28,,0.28
6491600,11/3/21,8:15 PM,15,0.29,,0.29
6491600,11/3/21,8:30 PM,15,0.31,,0.31
6491600,11/3/21,8:45 PM,15,0.29,,0.29
6491600,11/3/21,9:00 PM,15,0.215,,0.215
6491600,11/3/21,9:15 PM,15,0.21,,0.21
6491600,11/3/21,9:30 PM,15,0.17,,0.17
6491600,11/3/21,9:45 PM,15,0.195,,0.195
6491600,11/3/21,10:00 PM,15,0.175,,0.175
6491600,11/3/21,10:15 PM,15,0.175,,0.175
6491600,11/3/21,10:30 PM,15,0.145,,0.145
6491600,11/3/21,10:45 PM,15,0.16,,0.16
6491600,11/3/21,11:00 PM,15,0.19,,0.19
6491600,11/3/21,11:15 PM,15,0.14,,0.14
6491600,11/3/21,11:30 PM,15,0.135,,0.135
6491600,11/3/21,11:45 PM,15,0.13,,0.13
6491600,11/4/21,12:00 AM,15,0.065,,0.065
6491600,11/4/21,12:15 AM,15,0.1,,0.1
6491600,11/4/21,12:30 AM,15,0.115,,0.115
6491600,11/4/21,12:45 AM,15,0.09,,0.09
6491600,11/4/21,1:00 AM,15,0.05,,0.05
6491600,11/4/21,1:15 AM,15,0.06,,0.06
6491600,11/4/21,1:30 AM,15,0.095,,0.095
6491600,11/4/21,1:45 AM,15,0.06,,0.06
6491600,11/4/21,2:00 AM,15,0.055,,0.055
6491600,11/4/21,2:15 AM,15,0.085,,0.085
6491600,11/4/21,2:30 AM,15,0.085,,0.085
6491600,11/4/21,2:45 AM,15,0.055,,0.055
6491600,11/4/21,3:00 AM,15,0.05,,0.05
6491600,11/4/21,3:15 AM,15,0.09,,0.09
6491600,11/4/21,3:30 AM,15,0.065,,0.065
6491600,11/4/21,3:45 AM,15,0.05,,0.05
6491600,11/4/21,4:00 AM,15,0.085,,0.085
6491600,11/4/21,4:15 AM,15,0.085,,0.085
6491600,11/4/21,4:30 AM,15,0.05,,0.05
6491600,11/4/21,4:45 AM,15,0.06,,0.06
6491600,11/4/21,5:00 AM,15,0.085,,0.085
6491600,11/4/21,5:15 AM,15,0.06,,0.06
6491600,11/4/21,5:30 AM,15,0.055,,0.055
6491600,11/4/21,5:45 AM,15,0.09,,0.09
6491600,11/4/21,6:00 AM,15,0.07,,0.07
6491600,11/4/21,6:15 AM,15,0.09,,0.09
6491600,11/4/21,6:30 AM,15,0.26,,0.26
6491600,11/4/21,6:45 AM,15,0.16,,0.16
6491600,11/4/21,7:00 AM,15,0.16,,0.16
6491600,11/4/21,7:15 AM,15,0.24,,0.24
6491600,11/4/21,7:30 AM,15,0.235,,0.235
6491600,11/4/21,7:45 AM,15,0.12,,0.12
6491600,11/4/21,8:00 AM,15,0.075,,0.075
6491600,11/4/21,8:15 AM,15,0.07,,0.07
6491600,11/4/21,8:30 AM,15,0.115,,0.115
6491600,11/4/21,8:45 AM,15,0.085,,0.085
6491600,11/4/21,9:00 AM,15,0.075,,0.075
6491600,11/4/21,9:15 AM,15,0.11,,0.11
6491600,11/4/21,9:30 AM,15,0.1,,0.1
6491600,11/4/21,9:45 AM,15,0.075,,0.075
6491600,11/4/21,10:00 AM,15,0.38,,0.38
6491600,11/4/21,10:15 AM,15,0.465,,0.465
6491600,11/4/21,10:30 AM,15,0.415,,0.415
6491600,11/4/21,10:45 AM,15,0.44,,0.44
6491600,11/4/21,11:00 AM,15,0.435,,0.435
6491600,11/4/21,11:15 AM,15,0.04,,0.04
6491600,11/4/21,11:30 AM,15,0.135,,0.135
6491600,11/4/21,11:45 AM,15,0.065,,0.065
6491600,11/4/21,12:00 PM,15,0.03,,0.03
6491600,11/4/21,12:15 PM,15,0.045,,0.045
6491600,11/4/21,12:30 PM,15,0.075,,0.075
6491600,11/4/21,12:45 PM,15,0.05,,0.05
6491600,11/4/21,1:00 PM,15,0.055,,0.055
6491600,11/4/21,1:15 PM,15,0.07,,0.07
6491600,11/4/21,1:30 PM,15,0.065,,0.065
6491600,11/4/21,1:45 PM,15,0.05,,0.05
6491600,11/4/21,2:00 PM,15,0.08,,0.08
6491600,11/4/21,2:15 PM,15,0.05,,0.05
6491600,11/4/21,2:30 PM,15,0.055,,0.055
6491600,11/4/21,2:45 PM,15,0.075,,0.075
6491600,11/4/21,3:00 PM,15,0.065,,0.065
6491600,11/4/21,3:15 PM,15,0.045,,0.045
6491600,11/4/21,3:30 PM,15,0.095,,0.095
6491600,11/4/21,3:45 PM,15,0.065,,0.065
6491600,11/4/21,4:00 PM,15,0.055,,0.055
6491600,11/4/21,4:15 PM,15,0.09,,0.09
6491600,11/4/21,4:30 PM,15,0.07,,0.07
6491600,11/4/21,4:45 PM,15,0.07,,0.07
6491600,11/4/21,5:00 PM,15,0.095,,0.095
6491600,11/4/21,5:15 PM,15,0.08,,0.08
6491600,11/4/21,5:30 PM,15,0.11,,0.11
6491600,11/4/21,5:45 PM,15,0.19,,0.19
6491600,11/4/21,6:00 PM,15,0.275,,0.275
6491600,11/4/21,6:15 PM,15,0.565,,0.565
6491600,11/4/21,6:30 PM,15,0.175,,0.175
6491600,11/4/21,6:45 PM,15,0.18,,0.18
6491600,11/4/21,7:00 PM,15,0.105,,0.105
6491600,11/4/21,7:15 PM,15,0.135,,0.135
6491600,11/4/21,7:30 PM,15,0.14,,0.14
6491600,11/4/21,7:45 PM,15,0.225,,0.225
6491600,11/4/21,8:00 PM,15,0.25,,0.25
6491600,11/4/21,8:15 PM,15,0.21,,0.21
6491600,11/4/21,8:30 PM,15,0.245,,0.245
6491600,11/4/21,8:45 PM,15,0.315,,0.315
6491600,11/4/21,9:00 PM,15,0.165,,0.165
6491600,11/4/21,9:15 PM,15,0.12,,0.12
6491600,11/4/21,9:30 PM,15,0.18,,0.18
6491600,11/4/21,9:45 PM,15,0.215,,0.215
6491600,11/4/21,10:00 PM,15,0.14,,0.14
6491600,11/4/21,10:15 PM,15,0.15,,0.15
6491600,11/4/21,10:30 PM,15,0.155,,0.155
6491600,11/4/21,10:45 PM,15,0.12,,0.12
6491600,11/4/21,11:00 PM,15,0.125,,0.125
6491600,11/4/21,11:15 PM,15,0.13,,0.13
6491600,11/4/21,11:30 PM,15,0.17,,0.17
6491600,11/4/21,11:45 PM,15,0.155,,0.155
6491600,11/5/21,12:00 AM,15,0.16,,0.16
6491600,11/5/21,12:15 AM,15,0.065,,0.065
6491600,11/5/21,12:30 AM,15,0.2,,0.2
6491600,11/5/21,12:45 AM,15,0.245,,0.245
6491600,11/5/21,1:00 AM,15,0.21,,0.21
6491600,11/5/21,1:15 AM,15,0.105,,0.105
6491600,11/5/21,1:30 AM,15,0.145,,0.145
6491600,11/5/21,1:45 AM,15,0.12,,0.12
6491600,11/5/21,2:00 AM,15,0.115,,0.115
6491600,11/5/21,2:15 AM,15,0.13,,0.13
6491600,11/5/21,2:30 AM,15,0.055,,0.055
6491600,11/5/21,2:45 AM,15,0.05,,0.05
6491600,11/5/21,3:00 AM,15,0.09,,0.09
6491600,11/5/21,3:15 AM,15,0.06,,0.06
6491600,11/5/21,3:30 AM,15,0.05,,0.05
6491600,11/5/21,3:45 AM,15,0.09,,0.09
6491600,11/5/21,4:00 AM,15,0.07,,0.07
6491600,11/5/21,4:15 AM,15,0.055,,0.055
6491600,11/5/21,4:30 AM,15,0.075,,0.075
6491600,11/5/21,4:45 AM,15,0.075,,0.075
6491600,11/5/21,5:00 AM,15,0.05,,0.05
6491600,11/5/21,5:15 AM,15,0.065,,0.065
6491600,11/5/21,5:30 AM,15,0.085,,0.085
6491600,11/5/21,5:45 AM,15,0.06,,0.06
6491600,11/5/21,6:00 AM,15,0.11,,0.11
6491600,11/5/21,6:15 AM,15,0.19,,0.19
6491600,11/5/21,6:30 AM,15,0.13,,0.13
6491600,11/5/21,6:45 AM,15,0.15,,0.15
6491600,11/5/21,7:00 AM,15,0.3,,0.3
6491600,11/5/21,7:15 AM,15,0.255,,0.255
6491600,11/5/21,7:30 AM,15,0.36,,0.36
6491600,11/5/21,7:45 AM,15,0.19,,0.19
6491600,11/5/21,8:00 AM,15,0.145,,0.145
6491600,11/5/21,8:15 AM,15,0.13,,0.13
6491600,11/5/21,8:30 AM,15,0.17,,0.17
6491600,11/5/21,8:45 AM,15,0.16,,0.16
6491600,11/5/21,9:00 AM,15,0.13,,0.13
6491600,11/5/21,9:15 AM,15,0.13,,0.13
6491600,11/5/21,9:30 AM,15,0.15,,0.15
6491600,11/5/21,9:45 AM,15,0.09,,0.09
6491600,11/5/21,10:00 AM,15,0.33,,0.33
6491600,11/5/21,10:15 AM,15,0.43,,0.43
6491600,11/5/21,10:30 AM,15,0.435,,0.435
6491600,11/5/21,10:45 AM,15,0.455,,0.455
6491600,11/5/21,11:00 AM,15,0.39,,0.39
6491600,11/5/21,11:15 AM,15,0.05,,0.05
6491600,11/5/21,11:30 AM,15,0.06,,0.06
6491600,11/5/21,11:45 AM,15,0.06,,0.06
6491600,11/5/21,12:00 PM,15,0.03,,0.03
6491600,11/5/21,12:15 PM,15,0.04,,0.04
6491600,11/5/21,12:30 PM,15,0.07,,0.07
6491600,11/5/21,12:45 PM,15,0.05,,0.05
6491600,11/5/21,1:00 PM,15,0.085,,0.085
6491600,11/5/21,1:15 PM,15,0.075,,0.075
6491600,11/5/21,1:30 PM,15,0.06,,0.06
6491600,11/5/21,1:45 PM,15,0.045,,0.045
6491600,11/5/21,2:00 PM,15,0.06,,0.06
6491600,11/5/21,2:15 PM,15,0.105,,0.105
6491600,11/5/21,2:30 PM,15,0.06,,0.06
6491600,11/5/21,2:45 PM,15,0.08,,0.08
6491600,11/5/21,3:00 PM,15,0.095,,0.095
6491600,11/5/21,3:15 PM,15,0.055,,0.055
6491600,11/5/21,3:30 PM,15,0.06,,0.06
6491600,11/5/21,3:45 PM,15,0.11,,0.11
6491600,11/5/21,4:00 PM,15,0.08,,0.08
6491600,11/5/21,4:15 PM,15,0.065,,0.065
6491600,11/5/21,4:30 PM,15,0.1,,0.1
6491600,11/5/21,4:45 PM,15,0.075,,0.075
6491600,11/5/21,5:00 PM,15,0.055,,0.055
6491600,11/5/21,5:15 PM,15,0.115,,0.115
6491600,11/5/21,5:30 PM,15,0.095,,0.095
6491600,11/5/21,5:45 PM,15,0.05,,0.05
6491600,11/5/21,6:00 PM,15,0.07,,0.07
6491600,11/5/21,6:15 PM,15,0.11,,0.11
6491600,11/5/21,6:30 PM,15,0.1,,0.1
6491600,11/5/21,6:45 PM,15,0.065,,0.065
6491600,11/5/21,7:00 PM,15,0.085,,0.085
6491600,11/5/21,7:15 PM,15,0.09,,0.09
6491600,11/5/21,7:30 PM,15,0.1,,0.1
6491600,11/5/21,7:45 PM,15,0.165,,0.165
6491600,11/5/21,8:00 PM,15,0.215,,0.215
6491600,11/5/21,8:15 PM,15,0.14,,0.14
6491600,11/5/21,8:30 PM,15,0.2,,0.2
6491600,11/5/21,8:45 PM,15,0.195,,0.195
6491600,11/5/21,9:00 PM,15,0.155,,0.155
6491600,11/5/21,9:15 PM,15,0.105,,0.105
6491600,11/5/21,9:30 PM,15,0.06,,0.06
6491600,11/5/21,9:45 PM,15,0.06,,0.06
6491600,11/5/21,10:00 PM,15,0.085,,0.085
6491600,11/5/21,10:15 PM,15,0.055,,0.055
6491600,11/5/21,10:30 PM,15,0.075,,0.075
6491600,11/5/21,10:45 PM,15,0.075,,0.075
6491600,11/5/21,11:00 PM,15,0.05,,0.05
6491600,11/5/21,11:15 PM,15,0.07,,0.07
6491600,11/5/21,11:30 PM,15,0.07,,0.07
6491600,11/5/21,11:45 PM,15,0.05,,0.05
6491600,11/6/21,12:00 AM,15,0.085,,0.085
6491600,11/6/21,12:15 AM,15,0.07,,0.07
6491600,11/6/21,12:30 AM,15,0.045,,0.045
6491600,11/6/21,12:45 AM,15,0.085,,0.085
6491600,11/6/21,1:00 AM,15,0.06,,0.06
6491600,11/6/21,1:15 AM,15,0.045,,0.045
6491600,11/6/21,1:30 AM,15,0.09,,0.09
6491600,11/6/21,1:45 AM,15,0.065,,0.065
6491600,11/6/21,2:00 AM,15,0.055,,0.055
6491600,11/6/21,2:15 AM,15,0.09,,0.09
6491600,11/6/21,2:30 AM,15,0.045,,0.045
6491600,11/6/21,2:45 AM,15,0.06,,0.06
6491600,11/6/21,3:00 AM,15,0.085,,0.085
6491600,11/6/21,3:15 AM,15,0.05,,0.05
6491600,11/6/21,3:30 AM,15,0.075,,0.075
6491600,11/6/21,3:45 AM,15,0.08,,0.08
6491600,11/6/21,4:00 AM,15,0.045,,0.045
